:START_ID|:END_ID|:TYPE
nm1672161|tt0419887|WROTE
nm0923070|tt0419909|WROTE
nm1720878|tt0419967|WROTE
nm1590998|tt0420223|WROTE
nm1722281|tt0421082|WROTE
nm0339043|tt0421082|WROTE
nm0744839|tt0421715|WROTE
nm0842523|tt0421715|WROTE
nm0280234|tt0421715|WROTE
nm0619361|tt0423510|WROTE
nm1122978|tt0423977|WROTE
nm0625198|tt0424136|WROTE
nm1429512|tt0425210|WROTE
nm0145309|tt0426931|WROTE
nm0366337|tt0426931|WROTE
nm1554513|tt0426931|WROTE
nm0251935|tt0427309|WROTE
nm2831777|tt0427309|WROTE
nm2872558|tt0427309|WROTE
nm1740772|tt0427944|WROTE
nm0275260|tt0428803|WROTE
nm1471001|tt0428803|WROTE
nm1996352|tt0431197|WROTE
nm0737216|tt0431308|WROTE
nm1754499|tt0431308|WROTE
nm0004591|tt0431420|WROTE
nm0104701|tt0431420|WROTE
nm0662582|tt0431420|WROTE
nm0001094|tt0432283|WROTE
nm0000876|tt0432283|WROTE
nm0309691|tt0433035|WROTE
nm0319659|tt0433035|WROTE
nm0505230|tt0433035|WROTE
nm0558577|tt0433035|WROTE
nm0381416|tt0433383|WROTE
nm0905152|tt0434409|WROTE
nm0905154|tt0434409|WROTE
nm2331222|tt0434409|WROTE
nm0005124|tt0435761|WROTE
nm0004056|tt0435761|WROTE
nm1578335|tt0435761|WROTE
nm0604948|tt0436697|WROTE
nm0000116|tt0437086|WROTE
nm0436164|tt0437086|WROTE
nm1738737|tt0437086|WROTE
nm1830683|tt0437806|WROTE
nm0006904|tt0440963|WROTE
nm1994243|tt0440963|WROTE
nm1079776|tt0440963|WROTE
nm0524924|tt0440963|WROTE
nm0903456|tt0441773|WROTE
nm0008743|tt0441773|WROTE
nm0074184|tt0441773|WROTE
nm0717550|tt0441773|WROTE
nm1065785|tt0443272|WROTE
nm0329447|tt0443272|WROTE
nm0385630|tt0443453|WROTE
nm0063165|tt0443453|WROTE
nm0563243|tt0443453|WROTE
nm0680846|tt0443453|WROTE
nm0193485|tt0443518|WROTE
nm1841035|tt0443543|WROTE
nm0361069|tt0443680|WROTE
nm0888743|tt0443706|WROTE
nm1172196|tt0443706|WROTE
nm1449857|tt0444518|WROTE
nm1142065|tt0444518|WROTE
nm0166074|tt0445922|WROTE
nm0478588|tt0445922|WROTE
nm1048533|tt0445990|WROTE
nm0045209|tt0446029|WROTE
nm1854069|tt0446029|WROTE
nm0159443|tt0446059|WROTE
nm0258268|tt0446059|WROTE
nm1644613|tt0446059|WROTE
nm0774792|tt0446724|WROTE
nm0566407|tt0446724|WROTE
nm0638913|tt0446755|WROTE
nm0560857|tt0446755|WROTE
nm2849655|tt0448115|WROTE
nm0501359|tt0448115|WROTE
nm1791910|tt0448115|WROTE
nm1304148|tt0448115|WROTE
